index,time,dTLB-load-misses,L1-icache-load-misses,instructions:u,cache-misses:u,branch-misses:u,iTLB-load-misses,L1-dcache-load-misses,LLC-load-misses,dTLB-store-misses,cpu-cycles:u,branch-load-misses,LLC-store-misses,cpi
74,15.026145122,150120,50366,436353423,2145821,17070,1756,40345212,1923939,17881,316526657,30147,18403,0.725390567177927
75,15.226418055,40803,12505,347491976,2345462,9437,271,46165827,2132211,20401,316652678,9504,195008,0.91125176945093
76,15.426706304,62981,100088,430718498,2655125,5339,662,43320231,2658875,189244,316927449,4938,409372,0.735811093490579
77,15.627017228,16328,335046,483327131,1211776,1340,1358,41429238,876677,6165,317715734,1340,317820,0.657351333335351
78,15.827283642,17046,466329,477225575,1230170,1345,851,41203981,896084,6136,317396684,1339,316079,0.665087331080276
79,16.027556989,16344,348418,474338720,1396264,1319,140,40286386,1075512,6411,317709841,1317,430597,0.669795291010609
80,16.227853439,16946,367038,484295724,1206676,1321,83,41520882,903022,5902,317754962,1333,317097,0.656117628657815
81,16.428125168,23421,266895,477763997,1717588,2851,784,45711111,1620906,5650,317708604,1365,246573,0.664990677395057
82,16.628397696,69821,33324,433387146,3897755,3817,1459,58887372,3871974,16,316823924,3760,2187,0.731041349343573
83,16.828689942,70062,38145,429904555,3861469,3804,1655,58762198,3855990,33,316844858,3862,3348,0.737012097952765
84,17.028952711,69353,35999,433417412,3878493,3980,1814,58759967,3857385,25,316760388,3946,2230,0.730843706851353
85,17.229215672,117066,16574,386633675,1305197,34887,869,38494134,1616605,21476,315270929,19927,78657,0.815425425630605
86,17.429523556,39217,12841,457433524,3179295,5289,377,49951318,2958128,4106,316897874,5366,217608,0.692773610532314
87,17.629799626,139252,21023,505689077,1927586,5031,617,41997777,1592688,35298,317300712,8207,247560,0.627462064006575
88,17.830069581,22055,28946,510112350,1461123,2141,486,38887404,1298311,2873,316433484,1921,162546,0.620321158662401
89,18.030364103,22251,29627,503020921,1546490,1832,291,37928463,1375347,3004,317514186,1870,161815,0.631214672679588
90,18.230647604,32653,29312,484333946,1350783,28213,172,38206185,1279523,26188,317340807,45354,162896,0.65521074791648
91,18.430907769,16772,85596,370004330,1699031,39842,1794,23909396,791178,175501,316292971,9719,211716,0.854835863677595
92,18.631213577,15459,373524,463267037,1346053,2536,1318,39431466,904905,5938,317400187,2557,285743,0.685134407695836
93,18.831504544,16474,376330,478240014,1282305,3622,1440,41170569,962893,5923,317669179,3617,315936,0.664246340123267
94,19.031767769,16604,405482,476156723,1275769,2520,1508,41032804,972841,6280,317335205,2549,315122,0.666451169691875
95,19.232065336,16582,417480,479351298,1276036,2543,1458,40907139,940229,6105,317379495,2516,316781,0.662102087392282
96,19.432334993,16395,1848041,450958754,1148741,1261,341,36186515,897182,5970,317465688,1326,297969,0.703979433116848
97,19.632596309,37938,698726,272855235,2367339,3346,30,37460201,2071231,647,316317887,4865,44794,1.15928832005001
98,19.832883487,43655,386679,271269916,2412401,3237,0,38896390,2397148,123,316348387,3329,2870,1.16617571039466
99,20.033148724,50218,410101,312980672,2760888,3527,411,43572504,2759368,74,316160095,3521,1897,1.0101585282557
100,20.233451832,69847,44811,426814725,3818364,3899,1562,57996911,3809174,31,316891397,3919,2723,0.742456570588093
101,20.433761985,99116,80468,425190718,2185894,28650,1477,43338937,2316885,10844,316479085,19339,47675,0.744322657109368
102,20.634044956,42208,15559,380105495,2878367,8590,716,46298662,2607970,13143,316569954,7454,190831,0.832847612476636
103,20.834324675,70684,118498,393845075,2589730,6804,902,40144153,2445123,30813,316792428,9516,270598,0.804357977562624
104,21.034634601,15494,1217886,456661074,1224002,2238,1036,37817081,906527,5575,317299159,2048,288933,0.694824185956344
105,21.234925433,16824,355853,480567499,1274964,1607,1199,40842639,938005,6142,317354558,1784,307842,0.660374575185327
106,21.435538992,16421,697795,469899533,1263007,2381,1557,40362302,982117,5995,317804227,2397,308274,0.676323777065767
107,21.635827879,11202,4675279,303556259,869953,1687,788,26176423,661372,3950,317004941,1602,200936,1.04430375458014
108,21.836048452,11343,3862235,309440128,926973,949,162,29310627,722487,3945,316800230,910,221210,1.02378522154696
109,22.036315445,20387,2503321,386284927,1662461,1800,696,36387297,1333382,4207,316820059,1774,196928,0.820171942665524
110,22.236554808,69683,44142,428883508,3825813,3726,2021,58189757,3801469,57,316717641,3605,4110,0.738470085914332
111,22.436786306,69127,35554,427756937,3820139,3795,2124,58018456,3821867,36,316804571,3841,3235,0.74061819598264
112,22.637038327,69108,38288,431069517,3841168,3921,1814,58348212,3824376,30,316762892,3955,1201,0.734830182854243
113,22.837321569,127638,17926,378865414,1616264,30670,112,38694196,1235694,21633,316701130,19637,74348,0.8359198762862
114,23.037569721,37265,14617,440672754,3296207,5027,290,47470430,3080257,3919,316837420,5114,213006,0.718985726083714
115,23.23780172,93400,228760,397490053,1708134,5553,897,39863876,1933665,42584,316968002,8336,299661,0.79742373326761
116,23.438072347,16535,338107,480798871,1275642,2478,1377,41275184,945768,6129,317697584,2519,316884,0.660770237124787
117,23.63832972,16292,339237,481413105,1272383,2432,1269,41148554,962534,6064,317569189,2449,316122,0.659660457311398
118,23.838585106,16476,347808,479785253,1281083,2448,1258,41037023,956383,6178,317590926,2429,316056,0.661943909309776
119,24.03884494,16477,351227,482042930,1267058,2445,1207,41253627,953463,6101,317725322,2453,315848,0.659122460316968
