index,time,cache-misses:u,dTLB-store-misses,branch-misses:u,iTLB-load-misses,LLC-load-misses,L1-icache-load-misses,L1-dcache-load-misses,branch-load-misses,cpu-cycles:u,instructions:u,dTLB-load-misses,LLC-store-misses,cpi
89,18.019221233,4146051,6963,524430,29671,4111457,273866,13120151,483045,427327772,414289767,741196,6474,1.03147073869194
90,18.219456808,4263796,6788,638299,26965,4181435,258992,13487947,576872,432115940,436892204,755035,6739,0.989067637379952
91,18.419706922,4276626,6704,561196,22849,4315602,247823,12829306,610408,423528136,406704609,678993,6063,1.04136546925634
92,18.619918978,4282879,6639,478714,25020,4181512,241892,13283268,524101,424088895,383691932,687218,5631,1.10528489037919
93,18.820122585,4428850,6606,465213,29164,4305074,235017,11579621,505406,426901341,376019485,739906,7244,1.13531707273095
94,19.020331044,4437236,6196,515866,26799,4234885,248998,11870863,460959,444648602,400487900,739906,6422,1.11026725651387
95,19.220563945,4430683,6774,512289,25614,4359426,245579,12493996,561872,429077157,406249125,707043,5989,1.05619219979858
96,19.42078357,4456537,6152,457742,26159,4533825,241721,12562032,488672,414423547,371596393,739979,6353,1.11525180224233
97,19.620991779,4568220,5896,506445,24938,4405496,245922,12242047,561601,445097847,405696135,679898,5607,1.09712124075326
98,19.821214697,4460059,6010,478629,23059,4499650,225251,13032985,463191,417511860,366175357,749467,5345,1.14019649880481
99,20.021421,4531864,6290,556097,25543,4529103,203994,12593427,415938,416504787,391636763,751244,5884,1.06349767526804
100,20.221638235,4249074,5911,265771,22990,4433334,268516,11375810,354426,394748219,300543941,757655,6234,1.31344593967376
101,20.421831175,4608391,5797,458294,25437,4487453,229588,11760329,443282,416308786,361085673,709711,6050,1.15293631713823
102,20.622048304,4574136,5802,445705,24295,4564995,220788,11750393,522557,419923194,369214465,684963,5690,1.1373422057015
103,20.822280577,4561153,5762,564750,20949,4535565,205869,12511718,536738,426851667,407562531,705065,5534,1.04732804056514
104,21.022532912,4676149,5661,499680,24014,4438610,203342,12367650,477344,416739983,363812345,711207,6351,1.1454805993458
105,21.222749681,4712184,5534,405492,21467,4482792,189626,13178976,421057,416960473,359667238,702800,4801,1.15929511767207
106,21.422996736,4703129,5563,382311,20331,4668656,199126,11755891,384234,408490042,335345974,714891,5831,1.2181152411867
107,21.623233441,4663078,5411,371362,24327,4676140,197220,11043948,553267,419743695,344089979,670784,5674,1.21986608334211
108,21.823446771,4598232,5404,386679,22961,4438552,193546,11563019,384465,400656767,332889901,728088,5564,1.20357140843393
109,22.023671297,4719463,5155,493173,20441,4641371,219721,10653504,552390,424015328,391374853,683517,6009,1.08339952030592
110,22.223918851,4749272,5609,549540,22496,4701486,195096,11713345,480219,423054010,388656656,708665,6110,1.0885031903326
111,22.424127725,4801566,4923,445449,22683,4718130,194534,11319013,414341,413788090,363206026,700103,5984,1.13926548674608
112,22.624340429,4737579,4598,468179,18861,4777550,187685,11610102,379231,413536008,363710973,751168,5919,1.13699073907237
113,22.824579495,4711788,4600,371307,20614,4624150,186691,11038127,457889,413125514,356541248,687129,5478,1.1587032813662
114,23.024816843,4802915,4812,422706,20851,4773888,188176,11639508,399875,413276368,349580266,681103,5525,1.18220737322741
115,23.225035198,4802689,5345,382011,23535,4690876,190423,10709762,392732,416661748,339621880,754375,5730,1.22684011995929
116,23.425264717,4744502,4320,408931,20963,4856183,187624,11840774,388921,407575628,327670948,702395,5337,1.24385646786117
117,23.625481506,4796619,4908,371951,19116,4712381,196708,11528646,340479,401357520,334022300,698386,5181,1.20158899570478
118,23.825698899,4809397,5193,484102,18971,4814531,185009,11028080,514787,421647515,393230770,690270,4748,1.07226480521857
119,24.025956219,4838841,4865,403149,21408,4596621,184539,11137078,340664,412462382,338611602,694874,4447,1.21809878800314
120,24.226174732,4790167,4276,330687,20270,4769680,181898,10950248,375041,407568147,311189908,756611,5321,1.30970875507955
121,24.42638003,4992670,4656,438553,21723,4958564,169976,11407794,438938,429134821,364026144,686229,5292,1.17885714549118
122,24.626625279,4903385,4486,379862,18019,4959573,182087,12127066,371104,398874407,324004439,675416,5375,1.23107698225085
123,24.826851469,4781975,4783,525730,22181,4923789,165900,12042780,479720,414516546,372024891,711463,4993,1.11421723660958
124,25.027086685,4879866,4448,449619,21581,4742125,186156,10839882,402228,415747299,366368666,702848,5697,1.13477853752919
125,25.227334074,4867239,4339,315045,18601,4944331,192959,12006772,246501,390202224,284127273,735733,5433,1.37333604014846
126,25.427561629,4947783,4496,526406,19689,5006580,169355,11918221,383215,415883106,374433105,734541,5362,1.11070068443868
127,25.627738415,4837121,4296,261634,19949,4981448,179829,10655230,356118,394332230,291947249,702278,5455,1.35069685140277
128,25.827979531,4937390,4799,466607,18917,4952330,173091,11318772,466450,411450419,360200103,712354,5006,1.14228290212343
129,26.028160968,4899494,4333,364954,14856,4775279,174071,10570137,475547,413690876,349217842,687262,4510,1.18462124853289
130,26.228386899,5010872,4733,411458,22272,5076386,164557,10966251,382616,412026828,346268575,682215,5656,1.18990534442809
131,26.42860511,5103674,4846,370578,19074,4995540,152996,10397844,411330,410373195,337493848,687966,4962,1.21594274216222
132,26.628813612,4766557,4198,361488,18993,4732254,177537,11451200,300877,406481089,308769558,672365,5949,1.3164545482816
133,26.829017087,4944283,3778,400320,18707,4781319,161859,10668009,364227,419016599,338342577,687938,4776,1.23843887078983
134,27.029253436,5099554,4390,476287,17950,5072696,157873,10699785,399504,414605470,370310421,713746,5427,1.11961599373948
135,27.229457628,4931180,4820,495506,18834,4872373,154142,11665967,483050,411354996,358921595,649448,4773,1.14608594670934
136,27.42967363,5099166,3890,453423,17979,5127665,158440,11468112,380778,403807377,333426177,720878,5051,1.21108480633781
137,27.62989471,4921675,4731,480341,17036,5036089,157144,11498828,440444,415016908,369431325,734170,5258,1.1233939298461
138,27.830120686,4861019,4297,336335,18275,5013694,157886,11627474,282953,392243228,308819377,675606,5310,1.27013800691658
139,28.03034067,5067049,4097,426394,17225,4901275,161116,11389286,404843,400137474,319854863,677758,5596,1.25099699984865
140,28.230592535,5112365,4509,463421,17216,4895373,158596,11023476,524455,421107505,374330244,700523,4526,1.1249625477764
141,28.430806205,5027388,4054,493063,17579,5129254,164402,11045553,398665,421668022,358609961,728197,5011,1.17584023830281
142,28.631037876,5112267,4204,470933,18415,5115057,160230,11284136,466310,415670964,369501395,669800,4568,1.12495100052329
143,28.831268735,5160344,4041,385351,20057,5107560,149942,10686674,361884,405442839,339861165,676817,5594,1.19296607189586
144,29.031494733,5170458,4620,393050,17672,5139489,169936,10719916,471442,418293055,325678190,702512,4977,1.28437539830346
145,29.231710552,5045001,4031,495949,18585,5071293,148015,11818635,343245,401500556,354454391,696149,5079,1.13272840228406
146,29.431942434,4854300,3916,365508,16339,5079670,158953,12949518,219598,381980928,294547709,700642,5471,1.29683890360865
147,29.632154622,4855765,3720,422012,19737,5008038,166508,11242314,407991,407981443,356438048,701146,4545,1.14460688270855
148,29.832359893,5062471,3956,298170,16184,5055870,161273,10040859,382026,394126775,299673748,697644,4294,1.31518619041665
149,30.032581485,5128076,4387,266959,19411,5035862,145109,10121005,346041,411586967,304080304,727884,5071,1.35354694659869
150,30.232832324,5159769,3361,475518,17671,5007254,161832,10372444,384188,405570607,339302098,719329,4104,1.19530827952617
151,30.433065779,5101674,4414,397236,17356,5221588,147231,10394666,502111,411268932,334077316,662343,5662,1.23105913602347
152,30.633292032,5150350,3813,290605,14810,5206595,152236,10114413,378788,410437771,323191674,673448,4943,1.26995156131405
153,30.833530198,5110995,4042,341250,17780,5040483,158951,10780941,299966,405805467,318192331,694571,5072,1.27534647275958
154,31.033764212,5136841,5028,437661,18537,5115205,156442,11333459,432621,414584459,334768525,692764,5438,1.23842126137754
155,31.233996254,4986565,3955,375575,17095,5080228,148315,10979352,322829,403638890,299672249,697735,4822,1.34693449709452
156,31.434253964,5183396,3601,314482,17435,5225185,153416,10251603,273819,400301589,306293586,711525,5128,1.30692122622509
157,31.634472539,5147439,4535,368151,17498,5019716,156876,10372836,446353,416182942,338008077,648756,4704,1.23128105604411
158,31.834672259,5231921,3926,321497,16789,5094565,144200,10158179,302473,395075430,305233487,695881,4769,1.29433842231079
159,32.034895031,5097904,4050,427720,16876,5287132,162150,10435208,353336,408181109,354141428,723609,4697,1.15259350284203
160,32.235130596,5084477,3597,343073,16368,5104950,199342,9726679,230824,407684653,289462534,689967,7228,1.40841941568853
161,32.435353582,5368545,3889,306633,16427,5094830,166956,10604068,324906,411805764,297696015,677053,4993,1.38330962878358
162,32.635594809,5217433,4022,354710,15135,5116232,139720,10562480,394982,420789694,334215433,668792,5810,1.25903729287091
163,32.835812384,5237001,3998,268463,16739,5152299,142629,9847615,453639,403779275,320682609,654360,4451,1.25912432937703
164,33.036017765,5213253,3697,332986,16158,5371207,140762,9716537,328928,409697780,311609045,715341,5256,1.31478141143175
165,33.236286779,5162541,4087,440566,19102,5200838,166836,11675403,413390,444601491,332367146,646319,5608,1.337681826711
166,33.43652452,5131704,3572,332819,18541,5058527,152134,9894385,339655,404975662,302326337,720872,4920,1.33953153409853
167,33.636732462,5145310,3779,393411,14310,5240720,142097,10480447,408840,413591619,347771465,689930,4475,1.18926266420392
168,33.836955712,5124472,3394,205685,15815,5147036,130545,10028442,295414,393606126,268770348,700774,4439,1.4644700538171
169,34.037185212,5117470,3611,416082,14149,5047175,133647,10565787,341420,413378474,321110088,658287,4817,1.28734190998073
170,34.237395004,4944382,3572,259478,16657,4893058,162155,8747724,266120,398035780,270448848,650947,4148,1.47175993887021
171,34.437645535,4950939,3393,267264,15785,4825687,126802,9720592,344732,406384341,278226001,645861,5396,1.46062675500986
172,34.637879359,4976497,3912,229457,15468,4977692,145807,10243195,316452,392142944,262813436,655054,5677,1.49209625644862
173,34.838093156,4958476,3532,210038,14687,4975664,137705,9060017,274740,397861186,265130055,668240,3997,1.50062649819161
174,35.038344579,5062608,3632,183891,15208,4963275,137274,9678975,237662,399172528,246884600,677623,3570,1.61683850673554
175,35.238563837,5211859,3364,292533,15635,5014881,129786,10015803,325490,398292777,318449305,644839,4945,1.25072584787083
