index,time,branch-misses:u,cpu-cycles:u,LLC-store-misses,cache-misses:u,iTLB-load-misses,branch-load-misses,instructions:u,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,L1-icache-load-misses,L1-dcache-load-misses,cpi
117,23.629687725,1600530,424025748,234479,3670672,12778,1591764,298908157,2132480,199635,3438539,186090,11315559,1.41858205629363
118,23.829892386,1600575,435553688,219418,3675467,19656,1544541,292805782,2049347,173065,3409861,220440,11230506,1.48751737422999
119,24.030110657,1612134,424693102,225574,3653828,16362,1608748,299752975,2138853,189341,3404034,184227,11316244,1.41681029854666
120,24.230320974,1629337,420974735,221766,3626698,13989,1623426,301459027,2100463,186093,3424921,205089,11039335,1.39645755242221
121,24.430519971,1630665,426240807,224298,3634755,12869,1626257,303064192,2155468,191375,3417027,191839,11321197,1.40643737614505
122,24.630743647,1547691,432758118,273709,3778495,14214,1568437,296083384,2153648,203486,3487893,173813,11301004,1.46160892973312
123,24.830954366,1549503,421998345,259337,3778482,11659,1565507,292800225,2064265,231586,3494112,175232,11145457,1.4412500707607
124,25.031169632,1525423,422622687,272461,3742163,11641,1511090,288489739,2085343,209892,3463935,179025,11169450,1.46494876547412
125,25.231399647,1548724,423747356,258970,3811003,14512,1546659,295218749,2120534,202732,3523576,184399,11142137,1.435367358731
126,25.431621423,1560778,419657304,266346,3733272,15589,1537449,295487089,2072855,209927,3462067,175020,11087728,1.42022213363102
127,25.631844039,1574160,427802837,259202,3785871,13621,1565948,296972742,2120981,209066,3496337,179259,11193458,1.44054580268515
128,25.832070145,1542402,424526796,273212,3752486,12096,1557901,293771745,2096039,226981,3469905,175546,11067977,1.44509062980172
129,26.032261526,1530830,425084528,274907,3810720,11656,1563897,294578370,2133905,201787,3477135,173687,11197069,1.44302695408356
130,26.232466763,1553783,422603725,262933,3796968,11459,1556021,294289798,2078077,190959,3521523,185019,10967735,1.43601214813434
131,26.435226896,1635551,429944439,229963,3715455,15281,1626792,307092200,2159363,190177,3480324,190034,11524497,1.40005001429538
132,26.635440683,1589274,427621994,244424,3705678,14072,1599352,301291826,2135674,193244,3459295,177805,11197495,1.41929503922221
133,26.835646269,1625401,428029507,223616,3670918,13970,1623128,303310156,2170805,191649,3431870,179038,11346829,1.41119411444963
134,27.035871293,1561673,422388391,245201,3776482,11010,1572147,297820571,2120727,197921,3488845,182464,11165578,1.41826466043543
135,27.236066732,1532683,425872579,250266,3780838,12124,1526233,292900826,2128100,198146,3477375,178631,11116646,1.45398217142617
136,27.436259615,1550872,421868351,256362,3752034,15373,1574799,297309352,2102263,212299,3477864,181836,11146967,1.41895419085236
137,27.636477174,1530087,420309454,268629,3761654,15749,1554441,294896906,2106254,212430,3466811,176540,11061223,1.42527590303033
138,27.836686193,1542079,425341512,277771,3801737,12284,1545336,295998904,2063434,220564,3480446,170026,11082244,1.43696988823986
139,28.036890325,1515559,423266577,279490,3782764,13238,1537466,293823350,2068038,237826,3473932,173506,11062182,1.44054778832247
140,28.237101314,1517937,423595659,289438,3795557,16196,1493232,290207777,2090235,236159,3460026,174915,11178250,1.45962890236398
141,28.437300864,1525442,423599314,281375,3751188,13567,1541812,295082166,2053109,234374,3419007,185652,10925903,1.43553004148682
