index,time,iTLB-load-misses,dTLB-store-misses,L1-icache-load-misses,cache-misses:u,cpu-cycles:u,LLC-store-misses,LLC-load-misses,dTLB-load-misses,branch-misses:u,instructions:u,branch-load-misses,L1-dcache-load-misses,cpi
114,23.132284561,873,48,148448,390,508725651,0,79,8915,1128217,1294393434,1119414,13631537,0.393022428604192
115,23.332450485,970,130,155077,362,508947960,84,978,8156,1111774,1290542504,1096379,13872660,0.394367452774729
116,23.532643585,910,154,299839,1298,508699213,3,428,8692,1086210,1244307365,1114750,14450081,0.408821186234801
117,23.732826702,1244,28,144278,460,507836253,0,59,9133,1138499,1283819614,1129454,13893260,0.395566672655618
118,23.932992513,1942,150,157204,2129,508140446,525,8181,14922,1122657,1290281237,1119852,13475240,0.393821464211527
119,24.133201562,1382,128,176297,1312,510038528,85,1461,6290,1105315,1291297443,1130684,14147460,0.394981443481415
120,24.333398017,806,107,138588,160,508695638,2,317,8143,1155190,1283759005,1179856,14106086,0.396254776806804
121,24.533595847,861,94,139769,2444,508822409,0,21,10774,1174612,1267006721,1096373,13755271,0.401594088307918
122,24.733795264,1185,179,159347,1949,508542924,46,728,8633,1070266,1253496502,1049825,13675242,0.405699515865103
123,24.93397541,1138,162,156883,812,510247352,56,519,5252,1087060,1295147277,1146624,14249641,0.393968594198728
124,25.134158746,1172,75,147043,778,508242231,12,533,7969,1140625,1283348149,1164122,14059967,0.396028335254177
125,25.33433533,534,71,152649,860,507369591,0,130,9401,1148445,1283106718,1128912,13553633,0.395422753136891
126,25.534491013,804,126,144662,2084,510977657,22,806,9615,1135248,1297623149,1124777,13750961,0.393779702060479
127,25.73464387,963,158,145022,1113,509456187,37,362,7277,1093012,1271517624,1103860,14243672,0.400667814101804
128,25.934836116,7463,129,136023,945,509141437,84,1911,10228,1117838,1292104693,1135916,14121453,0.394040389883484
129,26.135013623,1219,325,161756,676,509054692,12,140,9880,1135363,1275028474,1121492,14237776,0.399249665698054
130,26.335178482,1460,419,158113,715,507927081,0,347,15533,1075906,1290203805,1066291,14773070,0.393679726436708
131,26.535381819,1123,184,166469,4827,509375099,0,867,9993,1135947,1281203225,1103036,14452657,0.397575567295345
132,26.735549313,1661,278,150490,623,509624249,120,2239,10170,1111592,1289827633,1115703,14648222,0.395110351151858
133,26.935717105,677,280,144973,743,508591705,0,68,11747,1136939,1288727539,1122314,13588746,0.394646416413702
134,27.135882998,1028,143,158390,330,508365698,90,203,7033,1088456,1284893489,1097745,14672743,0.39564812363992
135,27.336042854,1435,262,151432,390,505546156,6,612,11037,1121269,1277657045,1122806,14392737,0.395682204374336
136,27.536216345,1016,90,156558,3928,507556303,73,1377,10643,1119351,1281602615,1125235,14167114,0.396032511996708
137,27.736400399,1147,269,157232,1849,502105796,5,454,13016,1049913,1274419296,1031643,14639701,0.393987910867288
138,27.93656908,1031,234,161301,1852,499886421,133,296,16956,1078166,1259853504,1098449,14427072,0.396781387211191
139,28.136725761,1582,349,179022,1153,508287594,0,1107,47250,1160101,1269714241,1195220,16464196,0.400316526023748
140,28.336928594,1301,252,206902,4074,507981133,200,1263,50736,1162725,1248443262,1180485,17666219,0.406891645348958
141,28.537107001,1160,910,216828,3128,510178444,6,1276,48564,1151252,1273656290,1170093,17337032,0.400562104553341
142,28.737265915,1360,575,191976,433,510361471,3,124,62153,1161827,1277756606,1121892,17864068,0.399419943206304
143,28.937439041,1260,312,198109,2134,509025014,38,1916,43626,1168857,1233587573,1183774,17755209,0.412637923031347
144,29.137624404,1003,631,204014,2802,495504256,78,1849,45620,1119575,1242034931,1132324,17429155,0.398945507596195
145,29.337800879,723,141,191706,1166,508480595,43,128,59127,1158562,1271166207,1139927,17331389,0.400011101774042
146,29.5379412,1107,339,195502,501,507450905,109,944,44034,1179826,1255435174,1188760,17510568,0.404203192254991
147,29.738127209,769,365,222352,5575,508055429,0,603,48836,1136345,1270182227,1115134,17632059,0.399986252523749
148,29.938299181,953,441,177743,1544,510110421,5,633,22694,1109442,1256204231,1084799,16049207,0.406072841033123
149,30.138466754,1230,190,255819,6184,498246231,36,6094,39414,1084890,1253298520,1139189,17277800,0.397547928964282
150,30.338629265,2108,191,216408,4906,508512636,2,218,18598,1201234,1263119841,1054421,15509765,0.402584631714292
151,30.538801809,1720,912,199535,651,502044900,68,10239,28929,1183412,1238675912,1335962,16152061,0.40530771215966
152,30.738964836,1188,172,233785,5407,496517085,150,9613,19521,1104591,1234473238,1150865,15285825,0.402209679170056
153,30.939128646,803,181,239484,7310,508566624,0,462,24108,1326860,1249513827,1108591,14599487,0.407011601641124
154,31.139317023,1453,494,179033,2628,505221354,2,770,24959,1234790,1261495176,1225157,15438958,0.400494083221132
155,31.339459135,916,543,211333,1823,491179183,11,907,33859,1205043,1188121919,1296006,16689585,0.413408064564122
156,31.539629273,1458,840,273607,1551,502549711,5,539,64038,1242853,1223028771,1411716,18687967,0.410905878026969
157,31.739814269,875,507,192630,1757,487803572,3,390,51110,1214705,1214126491,1198997,16883700,0.401773271249709
158,31.939987917,1041,1720,176607,707,507765518,0,500,69721,1223549,1245382124,1365376,17435504,0.407718649733887
159,32.140177913,1482,1460,222515,1611,499330597,81,1104,41189,1176264,1223027087,1162201,17513816,0.408274356559692
160,32.340365625,1832,681,210293,2603,509511006,432,6352,36293,1156409,1272863728,1156676,17233017,0.400287159412245
161,32.540545,1184,150,235626,5174,510256542,0,3011,49279,1189131,1275485504,1192490,17720060,0.400048875820074
162,32.740719479,1256,91,202694,2982,508688351,0,209,55946,1287173,1255593241,1178139,17773426,0.405137853876039
163,32.940910696,1683,801,215226,928,508421920,459,125,53112,1187263,1249458241,1245863,17795719,0.406913895412052
164,33.141100738,1051,472,195228,3323,508202919,228,2874,27661,1189770,1259195007,1157997,17164573,0.403593499160055
165,33.341286932,1270,187,225316,2857,509258698,46,1829,38632,1149581,1270890203,1211533,18249792,0.400710224060166
166,33.541452172,1435,115,199487,497,510212756,32,231,42879,1219483,1266535643,1271817,17337024,0.402841213999692
