index,time,dTLB-load-misses,cache-misses:u,branch-load-misses,L1-icache-load-misses,branch-misses:u,L1-dcache-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-store-misses,instructions:u,cpu-cycles:u,LLC-load-misses,cpi
91,18.417555248,131852,422569,4490771,198378,4608524,1942231,220,2268,611,750697724,456904992,407195,0.60864043861148
92,18.617800396,148879,458772,4987740,192750,4988624,2142671,418,2008,281,773272600,474705517,482249,0.613891552603829
93,18.81799155,153856,420704,5452387,217957,5514307,2286499,351,1948,168,837550085,512670241,427495,0.612106965519561
94,19.018183147,146069,416489,5430232,215285,5442175,2312870,462,1773,165,864170885,514851004,402622,0.595774531330108
95,19.218386023,156784,415700,5556630,226607,5577320,2365788,516,1914,112,862879804,515103552,425334,0.596958637358489
96,19.418563434,141821,398737,4863168,220144,4910262,2063181,400,2249,388,827196131,486851064,409441,0.588555779886741
97,19.618797443,160960,503682,4968489,207510,4914648,2153018,438,1918,157,818329801,502290555,488529,0.613799661684324
98,19.819004292,158234,417068,5368203,251514,5394790,2323005,304,1787,109,855566128,515531097,412588,0.602561368581903
99,20.019196816,149329,410896,5540052,235524,5562156,2268540,467,2033,75,844466765,515362277,401526,0.610281302189554
100,20.219388726,149746,425980,5570686,237746,5545671,2202947,422,2280,178,843302657,515229948,414614,0.610966826350222
101,20.419592854,151143,423130,5436662,195912,5388737,2200776,397,2055,149,867711078,515988684,431781,0.594654945732985
102,20.619779035,147168,462648,5529634,177372,5552273,2242069,475,2202,357,847577482,515328676,433235,0.608001848732456
103,20.819960101,152211,408275,5552581,235087,5556458,2315345,408,2002,110,856946154,515812158,427279,0.601918983581785
104,21.020161585,131306,371522,5552388,208135,5475593,2052454,460,2210,46,887044921,515924867,370231,0.581622029263612
105,21.220352482,156472,388366,5506886,237769,5334508,2216529,373,1973,259,863570990,514731809,392639,0.596050371029717
106,21.420519235,147531,446789,5157170,260400,5172934,2198000,419,2402,644,791442303,485803283,418060,0.613820212994099
