index,time,instructions:u,L1-icache-load-misses,cache-misses:u,iTLB-load-misses,branch-misses:u,L1-dcache-load-misses,cpu-cycles:u,branch-load-misses,LLC-store-misses,dTLB-load-misses,LLC-load-misses,dTLB-store-misses,cpi
86,17.419829711,694301501,141552,1154849,8333,5230418,7928708,506385071,5256800,911,902920,1147695,3565,0.729344629488278
87,17.620008117,612997052,168216,939129,9582,4901705,6195302,503008026,4938900,606,921627,882992,4077,0.820571688491579
88,17.820196435,697630854,171292,580111,9933,5327607,6455070,504431330,5269014,494,814990,745017,4000,0.72306338962468
89,18.020398865,603347832,199635,1180969,9610,4481342,6273894,484222338,4642182,857,758122,998902,3628,0.802559174522732
90,18.220587691,645262225,163882,887248,7919,5096854,6244056,505042354,5169793,492,1032449,919563,4752,0.782693197327645
91,18.420776541,665463045,143337,782827,8844,5247555,6754327,504750714,5270206,354,969597,746899,4610,0.758495483396828
92,18.620977454,612034650,143979,964193,8911,5068803,7694433,504974026,5154455,326,1092533,939388,4636,0.82507424375401
93,18.821167895,573770206,282671,1111768,9872,4812532,7522294,497466839,4841707,17755,1007885,1293137,4992,0.867014065557806
94,19.021364747,628165748,159287,986326,9415,4968454,6151775,505834498,5042360,365,1009551,1042724,5515,0.805256414585661
95,19.221579968,612509456,146481,997089,9627,4980230,6783336,506391956,4976338,387,1004955,1109123,4986,0.82674961347862
96,19.421778338,619133697,155981,937530,9446,5000556,6822033,504592697,4895088,501,1035033,1041426,4929,0.814997955118569
97,19.621974764,644240448,152719,996183,8150,4894289,5972933,498143952,4963269,415,1022602,922237,5052,0.773226756479593
98,19.822178154,653940404,163394,929986,9684,5047758,5684082,505648899,5044475,462,1027561,1008867,4636,0.773233915364557
99,20.022362022,657225934,131331,1670080,8364,4890620,9609110,502630601,5082757,1035,967977,1214822,4627,0.764775969720026
100,20.222583277,585378704,291465,832614,10839,5135833,6224474,505706828,5282105,341,1008068,850632,4222,0.863896866326726
101,20.422790238,571870999,153604,1049321,11168,5267017,6454156,501176542,5426547,384,1137770,976952,5290,0.876380412499288
102,20.622992651,668102905,170999,612752,8078,5579110,6548490,507986943,5571702,604,951190,747129,3948,0.760342365222914
103,20.823189876,660297484,150326,650730,8030,5579705,7040333,502838490,5507351,377,956802,590602,4469,0.761533251579072
104,21.023408634,756786545,139210,1856232,7444,4306671,8222487,503673505,5080080,346,854542,762744,14863,0.66554236241079
105,21.223632562,643321605,150988,866746,9952,4727600,8383034,501994288,4771503,203,1029775,859406,5193,0.780316227682109
106,21.423814925,577089355,195595,925080,9555,4738967,7657963,505589807,4639214,334,982984,1002463,5085,0.876103159102632
107,21.624013771,620913241,137473,917421,9297,5048900,8210162,498736501,5089336,206,1025831,855114,5036,0.803230577265142
108,21.824202907,647517562,137710,889766,8762,4857711,7311903,504078712,4713502,15130,913450,829223,25943,0.778478826802847
109,22.024390889,716221695,149941,693580,9140,5131516,6099566,507082249,5080302,354,889143,728723,4800,0.707996214775371
110,22.224596778,648789688,156607,739160,9871,5364686,5898851,505517334,5168905,377,992015,732034,5395,0.779169803944233
111,22.424795049,638479141,153536,929972,9462,4994232,6615150,504652164,5149401,369,1035592,875337,5775,0.790397260605261
112,22.624987283,530968051,182052,1101323,9364,5030719,7072590,506979010,4960162,397,1117700,1145014,4864,0.954820179943369
113,22.825186894,581772689,211659,909097,10174,5333053,7366201,508430493,5567282,369,1161652,990853,5667,0.873933243366809
114,23.025364689,600086609,147054,834284,9635,5439053,7275902,501391174,5357672,246,1092748,786100,5470,0.835531349108975
115,23.225556261,671918625,156908,758734,9356,5100455,6035031,506846032,5286812,9483,984181,843366,5516,0.754326510892595
116,23.425755103,699876970,147214,629133,10202,5409204,5743127,508028661,5407944,442,840916,618962,5867,0.725882809088574
117,23.625925465,662116970,141219,677959,10085,5187189,7841684,503739272,5013793,43722,892024,1491710,5287,0.760801028857484
118,23.826122869,637292656,132530,852516,7709,5203761,7890401,505867864,5318278,250,1075393,826480,5071,0.793776390230362
119,24.026347577,626308932,145500,809899,9445,5338035,7712479,505887674,5309146,384,1027214,860719,4887,0.80772865937668
120,24.226548044,567841118,267976,844846,11111,4828683,7195244,503848959,4804996,362,967127,831795,4910,0.887306225330445
121,24.426751407,661138984,130429,858084,8288,4903859,6574509,498789877,5016604,341,1034772,746693,5390,0.754440275147956
122,24.626968964,696582016,142829,690523,9539,5097024,6712368,507628956,5148311,265,964205,665237,5524,0.728742551975387
123,24.827171323,691228115,141602,1048251,9134,5207835,10276792,507841289,5157554,27975,946295,1882686,5445,0.734694202940516
124,25.02737702,654065855,140364,1193358,7996,5211386,8982649,506536177,5088526,26091,1013731,1743082,5286,0.774442165307651
125,25.227602063,635580210,145304,941213,9421,5070606,6878078,503067061,5246709,290,1018412,974343,5546,0.791508377833224
126,25.427788785,647093817,173674,809565,9266,5352762,6436978,509036786,5307191,868,972726,938488,3533,0.786650672015307
127,25.62797562,568985812,204129,1007536,9591,4789749,6098480,506389315,4798344,392,1004273,1007631,5213,0.889985838522104
128,25.82817723,636419861,154495,937570,9445,5067556,5865824,504155860,4957172,503,1015810,925235,4918,0.792174931825391
129,26.028361656,625375741,136589,1094138,10383,4954210,6631656,502166214,5065138,356,1035742,973151,5725,0.80298320046284
130,26.228553519,625444190,137113,870936,8535,5247909,8498222,506870239,5213692,8873,1101443,1340418,4972,0.810416416211333
131,26.428757569,599193093,155308,884394,9296,5320983,8642625,507086856,5097946,47522,969582,1404072,21106,0.846282879298811
132,26.628950514,601575550,139361,850504,9100,5328829,7802543,503105832,5261322,271,1130382,840404,5498,0.836313630100159
133,26.829122023,564294684,209444,970412,10094,4600208,7284652,506646615,4742319,318,997618,931452,5438,0.897840488959843
134,27.029362389,625606932,157927,994318,14338,4635072,6270896,474718556,4255533,566,880380,892974,21102,0.758812813154698
135,27.229549504,642252999,147528,946121,8814,5008214,6736325,501583721,5068247,372,995411,895201,6023,0.780975288213485
136,27.429749334,687100237,134788,971131,8321,5103961,6146176,504631604,5022026,275,951021,861852,5176,0.734436661240738
137,27.629964863,716442682,144006,771099,7869,5111078,5747602,506643087,5184696,345,860480,824367,4901,0.707164857327693
138,27.830165906,688798213,156685,763208,8846,5223377,5752780,507221548,5194778,451,864722,759101,5544,0.736386271664151
139,28.030371317,752873332,233502,550987,7701,5023308,5616130,500965800,4983604,23097,726903,662323,13001,0.665405160080766
140,28.230603757,605223369,163907,979068,9615,4780653,6165185,503526354,4597015,337,968578,924802,11801,0.831967798652534
141,28.430802076,638722467,156457,947540,8842,5293153,6496189,505250187,5302133,422,999302,1059148,4764,0.79103243287041
142,28.631000123,686930891,124191,819357,8085,5073784,7602114,509349596,4955637,300,934723,744201,5696,0.741485937920937
143,28.831211097,663257268,129997,873504,9506,4991634,7897422,504838917,5089887,333,963311,825868,5393,0.761150976185006
144,29.031409361,682683741,128845,735643,8230,5171863,7239552,506229928,5123906,543,995026,905143,5232,0.741529199536041
145,29.231622122,728588243,137319,1592550,7526,4528836,6385658,503085469,4358802,386,817547,705551,21165,0.690493531611929
146,29.431811256,534581123,312152,1027491,10604,4691465,7064581,500421503,4558213,340,1015243,956663,8718,0.936100212801566
147,29.632004777,666542900,148880,1171227,9664,4792392,6822128,502636503,4835960,281,1006124,791890,8876,0.754094752190744
148,29.832198538,674311451,141705,711361,9591,5274613,6788101,505786091,5313209,366,934235,775315,5057,0.750077861276005
149,30.032390621,676316162,150448,1000319,8824,4926167,6054622,502910304,4883582,396,928215,862188,17808,0.743602374535595
150,30.232604864,624702629,169191,888064,9483,5161691,6795171,503476299,5066309,377,1035903,833107,5566,0.805945542130894
151,30.432799079,624802270,165916,924765,8540,5146361,6933831,508209407,5134020,514,1005288,952831,4905,0.813392382521273
152,30.63299371,573685527,318874,827252,10481,4856080,6693120,507320048,4767269,415,926911,857810,4272,0.884317320419345
153,30.83320487,636881325,175457,1304784,8845,4823491,7533694,501285440,4276905,27182,829371,1317787,41789,0.787093953492827
154,31.033397552,647071373,154543,900393,7922,4978711,6734885,506618991,4866106,375,912631,813257,13380,0.782941437590069
155,31.233597326,592246900,153395,1042521,10746,4804442,7502161,494039210,4509477,48749,816622,1487840,19676,0.834177789702234
